20221022	17:55:56	a3768ae6-dda9-4627-acd6-3db3e62b7f9d	GET 	 undefined 	 /employees
20221022	17:56:01	87cd7e2f-3cc9-48bd-8421-bde930f191b2	GET 	 undefined 	 /employee
20221022	17:56:21	b1b4b4e0-2dac-4875-990c-4d3f637d8d79	GET 	 undefined 	 /employees
20221022	17:57:18	143f2b58-7c55-44c9-b90b-94e9dee90753	POST 	 undefined 	 /employees
20221022	17:58:00	dd8c7fa6-92fa-4613-bf27-c265b2b26210	PUT 	 undefined 	 /employees
20221022	17:58:38	fa4e93fa-4f47-430f-a723-be0b48315c95	DELETE 	 undefined 	 /employees
20221022	21:04:51	72402d4f-f0e6-4eea-ba15-706b88efb4d4	GET 	 undefined 	 /employees
20221022	21:04:56	19e38ec8-6bc7-48ea-9633-245ddbecb47d	POST 	 undefined 	 /employees
20221022	21:06:57	dd909d39-329e-4089-adc2-d25b94cc9865	PUT 	 undefined 	 /employees
20221022	21:07:04	36d62345-2d48-4fa2-80c3-db3e318d6dfc	DELETE 	 undefined 	 /employees
20221025	09:15:12	443c7c30-e204-4e59-bd57-eaa8872efa55	POST 	 undefined 	 /register
20221025	09:15:32	c2b8d730-06b6-4808-a0cc-c694da33ae72	POST 	 undefined 	 /register
20221025	09:18:47	8e51ea86-003e-486f-a0b0-64f8edaaaf0f	POST 	 undefined 	 /register
20221025	09:38:44	90b631cf-36fa-4a59-9c4c-c859801886a0	POST 	 undefined 	 /auth
20221025	09:39:33	5d82dae8-95bb-483f-9d5e-10a8298c2cfe	POST 	 undefined 	 /auth
20221025	09:39:37	189b002f-6743-4577-81fb-2b761323c130	POST 	 undefined 	 /auth
20221025	09:39:42	e75beeef-32a9-4842-b94e-0059aaed6532	POST 	 undefined 	 /auth
20221025	09:40:10	d14b3c41-7e21-4b6d-b951-cbbdd200e156	POST 	 undefined 	 /register
